Option,Score,Trial
1,0.9081632653061225,0
2,0.9271137026239067,0
3,0.9664723032069971,0
4,0.978134110787172,0
5,0.9912536443148688,0
6,0.9912536443148688,0
7,0.9941690962099126,0
8,0.9941690962099126,0
9,0.9941690962099126,0
10,0.9927113702623906,0
1,0.89067055393586,1
2,0.9431486880466472,1
3,0.967930029154519,1
4,0.9868804664723032,1
5,0.9956268221574344,1
6,0.9970845481049563,1
7,0.9985422740524781,1
8,0.9970845481049563,1
9,0.9985422740524781,1
10,0.9970845481049563,1
1,0.8775510204081632,2
2,0.9271137026239067,2
3,0.9577259475218659,2
4,0.9737609329446064,2
5,0.9868804664723032,2
6,0.9883381924198251,2
7,0.9883381924198251,2
8,0.9897959183673469,2
9,0.9868804664723032,2
10,0.9883381924198251,2
1,0.8833819241982507,3
2,0.9416909620991254,3
3,0.967930029154519,3
4,0.9737609329446064,3
5,0.978134110787172,3
6,0.9854227405247813,3
7,0.9868804664723032,3
8,0.9883381924198251,3
9,0.9868804664723032,3
10,0.9854227405247813,3
1,0.89067055393586,4
2,0.9300291545189504,4
3,0.9518950437317785,4
4,0.9766763848396501,4
5,0.9897959183673469,4
6,0.9927113702623906,4
7,0.9927113702623906,4
8,0.9941690962099126,4
9,0.9941690962099126,4
10,0.9941690962099126,4
1,0.8483965014577259,5
2,0.9212827988338192,5
3,0.9475218658892128,5
4,0.9810495626822158,5
5,0.9927113702623906,5
6,0.9941690962099126,5
7,0.9985422740524781,5
8,0.9985422740524781,5
9,0.9985422740524781,5
10,0.9985422740524781,5
1,0.8702623906705539,6
2,0.9125364431486881,6
3,0.9708454810495627,6
4,0.9766763848396501,6
5,0.9912536443148688,6
6,0.9956268221574344,6
7,0.9970845481049563,6
8,0.9985422740524781,6
9,0.9970845481049563,6
10,0.9985422740524781,6
1,0.880466472303207,7
2,0.9110787172011662,7
3,0.9314868804664723,7
4,0.9620991253644315,7
5,0.9766763848396501,7
6,0.9810495626822158,7
7,0.9868804664723032,7
8,0.9883381924198251,7
9,0.9854227405247813,7
10,0.9854227405247813,7
1,0.8833819241982507,8
2,0.9256559766763849,8
3,0.9591836734693877,8
4,0.9766763848396501,8
5,0.9912536443148688,8
6,0.9927113702623906,8
7,0.9927113702623906,8
8,0.9927113702623906,8
9,0.9941690962099126,8
10,0.9927113702623906,8
1,0.8454810495626822,9
2,0.9139941690962099,9
3,0.9504373177842566,9
4,0.9766763848396501,9
5,0.9927113702623906,9
6,0.9927113702623906,9
7,0.9927113702623906,9
8,0.9927113702623906,9
9,0.9941690962099126,9
10,0.9941690962099126,9
1,0.9008746355685131,10
2,0.9300291545189504,10
3,0.9620991253644315,10
4,0.9693877551020408,10
5,0.9752186588921283,10
6,0.9897959183673469,10
7,0.9897959183673469,10
8,0.9912536443148688,10
9,0.9927113702623906,10
10,0.9927113702623906,10
1,0.8411078717201166,11
2,0.9256559766763849,11
3,0.9548104956268222,11
4,0.9693877551020408,11
5,0.9810495626822158,11
6,0.9912536443148688,11
7,0.9883381924198251,11
8,0.9927113702623906,11
9,0.9883381924198251,11
10,0.9897959183673469,11
1,0.8892128279883382,12
2,0.9402332361516035,12
3,0.9518950437317785,12
