Option,Score,Trial
linear,0.9883381924198251,0
poly,0.9854227405247813,0
rbf,1.0,0
sigmoid,0.7740524781341108,0
linear,0.9839650145772595,1
poly,0.9839650145772595,1
rbf,1.0,1
sigmoid,0.8017492711370262,1
linear,0.9810495626822158,2
poly,0.978134110787172,2
rbf,1.0,2
sigmoid,0.7755102040816326,2
linear,0.9883381924198251,3
poly,0.9825072886297376,3
rbf,1.0,3
sigmoid,0.8090379008746356,3
linear,0.9825072886297376,4
poly,0.9839650145772595,4
rbf,0.9956268221574344,4
sigmoid,0.7871720116618076,4
linear,0.9883381924198251,5
poly,0.9839650145772595,5
rbf,1.0,5
sigmoid,0.8002915451895044,5
linear,0.9897959183673469,6
poly,0.9839650145772595,6
rbf,1.0,6
sigmoid,0.7798833819241983,6
linear,0.9810495626822158,7
poly,0.9825072886297376,7
rbf,0.9941690962099126,7
sigmoid,0.7711370262390671,7
linear,0.9825072886297376,8
poly,0.9810495626822158,8
rbf,0.9970845481049563,8
sigmoid,0.7740524781341108,8
linear,0.9897959183673469,9
poly,0.9927113702623906,9
rbf,1.0,9
sigmoid,0.7798833819241983,9
linear,0.9854227405247813,10
poly,0.9883381924198251,10
rbf,1.0,10
sigmoid,0.7959183673469388,10
linear,0.9825072886297376,11
poly,0.9854227405247813,11
rbf,0.9970845481049563,11
sigmoid,0.7696793002915452,11
linear,0.9854227405247813,12
poly,0.9897959183673469,12
rbf,1.0,12
sigmoid,0.7988338192419825,12
linear,0.9883381924198251,13
poly,0.9854227405247813,13
rbf,1.0,13
sigmoid,0.8002915451895044,13
linear,0.9839650145772595,14
poly,0.9825072886297376,14
rbf,1.0,14
sigmoid,0.7725947521865889,14
linear,0.9810495626822158,15
poly,0.9752186588921283,15
rbf,0.9956268221574344,15
sigmoid,0.8877551020408163,15
linear,0.978134110787172,16
poly,0.9810495626822158,16
rbf,0.9941690962099126,16
sigmoid,0.7798833819241983,16
linear,0.9810495626822158,17
poly,0.9883381924198251,17
rbf,0.9941690962099126,17
sigmoid,0.7682215743440233,17
linear,0.9854227405247813,18
poly,0.9839650145772595,18
rbf,1.0,18
sigmoid,0.7682215743440233,18
linear,0.9854227405247813,19
poly,0.9766763848396501,19
rbf,1.0,19
sigmoid,0.7682215743440233,19
linear,0.9941690962099126,20
poly,0.9839650145772595,20
rbf,1.0,20
sigmoid,0.7842565597667639,20
linear,0.9854227405247813,21
poly,0.9868804664723032,21
rbf,1.0,21
sigmoid,0.8046647230320699,21
linear,0.9854227405247813,22
poly,0.9883381924198251,22
rbf,1.0,22
sigmoid,0.7696793002915452,22
linear,0.9868804664723032,23
poly,0.9897959183673469,23
rbf,1.0,23
sigmoid,0.7900874635568513,23
linear,0.9825072886297376,24
poly,0.9854227405247813,24
rbf,0.9970845481049563,24
sigmoid,0.7886297376093294,24
linear,0.9854227405247813,25
poly,0.9868804664723032,25
rbf,1.0,25
sigmoid,0.7711370262390671,25
linear,0.9795918367346939,26
poly,0.9708454810495627,26
rbf,0.9941690962099126,26
sigmoid,0.7638483965014577,26
linear,0.9883381924198251,27
poly,0.9912536443148688,27
rbf,1.0,27
sigmoid,0.7725947521865889,27
linear,0.9897959183673469,28
poly,0.9854227405247813,28
rbf,1.0,28
sigmoid,0.7565597667638484,28
linear,0.9854227405247813,29
poly,0.9912536443148688,29
rbf,1.0,29
sigmoid,0.7711370262390671,29
linear,0.9883381924198251,30
poly,0.9868804664723032,30
rbf,1.0,30
sigmoid,0.760932944606414,30
linear,0.9810495626822158,31
poly,0.9766763848396501,31
rbf,1.0,31
sigmoid,0.7711370262390671,31
linear,0.9839650145772595,32
poly,0.9868804664723032,32
rbf,0.9941690962099126,32
sigmoid,0.7798833819241983,32
linear,0.9825072886297376,33
poly,0.978134110787172,33
rbf,0.9941690962099126,33
sigmoid,0.7784256559766763,33
linear,0.9883381924198251,34
poly,0.9839650145772595,34
rbf,1.0,34
sigmoid,0.7842565597667639,34
linear,0.9883381924198251,35
poly,0.9839650145772595,35
rbf,1.0,35
sigmoid,0.8046647230320699,35
linear,0.9839650145772595,36
poly,0.9883381924198251,36
rbf,1.0,36
sigmoid,0.739067055393586,36
linear,0.9956268221574344,37
poly,0.9941690962099126,37
rbf,1.0,37
sigmoid,0.7959183673469388,37
linear,0.9839650145772595,38
poly,0.9810495626822158,38
rbf,1.0,38
sigmoid,0.782798833819242,38
linear,0.9825072886297376,39
poly,0.9839650145772595,39
rbf,1.0,39
sigmoid,0.8017492711370262,39
linear,0.978134110787172,40
poly,0.9839650145772595,40
rbf,1.0,40
sigmoid,0.793002915451895,40
linear,0.9810495626822158,41
poly,0.9810495626822158,41
rbf,0.9956268221574344,41
sigmoid,0.782798833819242,41
linear,0.9825072886297376,42
poly,0.9854227405247813,42
rbf,0.9970845481049563,42
sigmoid,0.7813411078717201,42
linear,0.9825072886297376,43
poly,0.978134110787172,43
rbf,0.9970845481049563,43
sigmoid,0.7871720116618076,43
linear,0.9825072886297376,44
poly,0.9883381924198251,44
rbf,1.0,44
sigmoid,0.7973760932944607,44
linear,0.9825072886297376,45
poly,0.9854227405247813,45
rbf,0.9956268221574344,45
sigmoid,0.7711370262390671,45
linear,0.9883381924198251,46
poly,0.9927113702623906,46
rbf,1.0,46
sigmoid,0.8002915451895044,46
linear,0.9825072886297376,47
poly,0.9883381924198251,47
rbf,0.9927113702623906,47
sigmoid,0.7915451895043731,47
linear,0.9897959183673469,48
poly,0.9956268221574344,48
rbf,1.0,48
sigmoid,0.7784256559766763,48
linear,0.9810495626822158,49
poly,0.9839650145772595,49
rbf,1.0,49
sigmoid,0.7871720116618076,49
