Option,Score,Trial
1,0.8579545454545454,0
2,0.9034090909090909,0
3,0.9147727272727273,0
4,0.9204545454545454,0
5,0.9204545454545454,0
6,0.9147727272727273,0
7,0.9204545454545454,0
8,0.9204545454545454,0
9,0.9261363636363636,0
10,0.9204545454545454,0
1,0.8863636363636364,1
2,0.9090909090909091,1
3,0.9090909090909091,1
4,0.9034090909090909,1
5,0.9034090909090909,1
6,0.9034090909090909,1
7,0.9034090909090909,1
8,0.8920454545454546,1
9,0.9034090909090909,1
10,0.9034090909090909,1
1,0.8011363636363636,2
2,0.9090909090909091,2
3,0.9204545454545454,2
4,0.9261363636363636,2
5,0.9375,2
6,0.9488636363636364,2
7,0.9488636363636364,2
8,0.9375,2
9,0.9318181818181818,2
10,0.9431818181818182,2
1,0.8409090909090909,3
2,0.9090909090909091,3
3,0.9261363636363636,3
4,0.9375,3
5,0.9318181818181818,3
6,0.9204545454545454,3
7,0.9261363636363636,3
8,0.9375,3
9,0.9318181818181818,3
10,0.9261363636363636,3
1,0.8181818181818182,4
2,0.8920454545454546,4
3,0.9261363636363636,4
4,0.9147727272727273,4
5,0.9261363636363636,4
6,0.9204545454545454,4
7,0.9261363636363636,4
8,0.9318181818181818,4
9,0.9318181818181818,4
10,0.9204545454545454,4
1,0.875,5
2,0.9318181818181818,5
3,0.9375,5
4,0.9318181818181818,5
5,0.9545454545454546,5
6,0.9431818181818182,5
7,0.9602272727272727,5
8,0.9488636363636364,5
9,0.9545454545454546,5
10,0.9431818181818182,5
1,0.8522727272727273,6
2,0.9375,6
3,0.9488636363636364,6
4,0.9545454545454546,6
5,0.9602272727272727,6
6,0.9545454545454546,6
7,0.9602272727272727,6
8,0.9602272727272727,6
9,0.9659090909090909,6
10,0.9602272727272727,6
1,0.8579545454545454,7
2,0.8863636363636364,7
3,0.9204545454545454,7
4,0.9204545454545454,7
5,0.9147727272727273,7
6,0.9204545454545454,7
7,0.9261363636363636,7
8,0.9261363636363636,7
9,0.9204545454545454,7
10,0.9147727272727273,7
1,0.8181818181818182,8
2,0.8920454545454546,8
3,0.9261363636363636,8
4,0.9147727272727273,8
5,0.9318181818181818,8
6,0.9261363636363636,8
7,0.9147727272727273,8
8,0.9318181818181818,8
9,0.9090909090909091,8
10,0.9318181818181818,8
1,0.8238636363636364,9
2,0.8806818181818182,9
3,0.9147727272727273,9
4,0.9375,9
5,0.9488636363636364,9
6,0.9488636363636364,9
7,0.9488636363636364,9
8,0.9431818181818182,9
9,0.9545454545454546,9
10,0.9488636363636364,9
1,0.8636363636363636,10
2,0.9204545454545454,10
3,0.9431818181818182,10
4,0.9545454545454546,10
5,0.9431818181818182,10
6,0.9602272727272727,10
7,0.9545454545454546,10
8,0.9431818181818182,10
9,0.9545454545454546,10
10,0.9545454545454546,10
1,0.7897727272727273,11
2,0.9090909090909091,11
3,0.9147727272727273,11
4,0.9147727272727273,11
5,0.9204545454545454,11
6,0.9147727272727273,11
7,0.9204545454545454,11
8,0.9034090909090909,11
9,0.9147727272727273,11
10,0.9090909090909091,11
1,0.8863636363636364,12
2,0.9488636363636364,12
3,0.9431818181818182,12
4,0.9488636363636364,12
5,0.9431818181818182,12
6,0.9375,12
7,0.9318181818181818,12
8,0.9431818181818182,12
9,0.9375,12
10,0.9431818181818182,12
1,0.8181818181818182,13
2,0.9375,13
3,0.9318181818181818,13
4,0.9375,13
5,0.9375,13
6,0.9431818181818182,13
7,0.9375,13
8,0.9431818181818182,13
9,0.9545454545454546,13
10,0.9375,13
1,0.875,14
2,0.9318181818181818,14
3,0.8977272727272727,14
4,0.8863636363636364,14
5,0.9034090909090909,14
6,0.8977272727272727,14
7,0.8920454545454546,14
8,0.8920454545454546,14
9,0.8977272727272727,14
10,0.8977272727272727,14
1,0.8295454545454546,15
2,0.9375,15
3,0.9431818181818182,15
4,0.9431818181818182,15
5,0.9488636363636364,15
6,0.9488636363636364,15
7,0.9431818181818182,15
8,0.9545454545454546,15
9,0.9545454545454546,15
10,0.9602272727272727,15
1,0.8693181818181818,16
2,0.9375,16
3,0.9488636363636364,16
4,0.9431818181818182,16
5,0.9488636363636364,16
6,0.9488636363636364,16
7,0.9431818181818182,16
8,0.9545454545454546,16
9,0.9488636363636364,16
10,0.9488636363636364,16
1,0.8238636363636364,17
2,0.9204545454545454,17
3,0.9261363636363636,17
4,0.9204545454545454,17
5,0.9261363636363636,17
6,0.9261363636363636,17
7,0.9204545454545454,17
8,0.9318181818181818,17
9,0.9204545454545454,17
10,0.9204545454545454,17
1,0.8522727272727273,18
2,0.9318181818181818,18
3,0.9318181818181818,18
4,0.9318181818181818,18
5,0.9488636363636364,18
6,0.9431818181818182,18
7,0.9488636363636364,18
8,0.9431818181818182,18
9,0.9431818181818182,18
10,0.9488636363636364,18
1,0.8409090909090909,19
2,0.9545454545454546,19
3,0.9545454545454546,19
4,0.9375,19
5,0.9431818181818182,19
6,0.9431818181818182,19
7,0.9375,19
8,0.9431818181818182,19
9,0.9375,19
10,0.9375,19
1,0.8238636363636364,20
2,0.8806818181818182,20
3,0.8920454545454546,20
4,0.9147727272727273,20
5,0.9261363636363636,20
6,0.9147727272727273,20
7,0.9090909090909091,20
8,0.9204545454545454,20
9,0.9034090909090909,20
10,0.9147727272727273,20
1,0.8465909090909091,21
2,0.8920454545454546,21
3,0.8863636363636364,21
4,0.9090909090909091,21
5,0.9090909090909091,21
6,0.9090909090909091,21
7,0.9034090909090909,21
8,0.9090909090909091,21
9,0.9034090909090909,21
10,0.9090909090909091,21
1,0.8409090909090909,22
2,0.9431818181818182,22
3,0.9488636363636364,22
4,0.9431818181818182,22
5,0.9488636363636364,22
6,0.9431818181818182,22
7,0.9545454545454546,22
8,0.9545454545454546,22
9,0.9545454545454546,22
10,0.9545454545454546,22
1,0.8409090909090909,23
2,0.8920454545454546,23
3,0.9090909090909091,23
4,0.9375,23
5,0.9375,23
6,0.9261363636363636,23
7,0.9375,23
8,0.9545454545454546,23
9,0.9488636363636364,23
10,0.9545454545454546,23
1,0.8011363636363636,24
2,0.875,24
3,0.8977272727272727,24
4,0.9261363636363636,24
5,0.9261363636363636,24
6,0.9261363636363636,24
7,0.9204545454545454,24
8,0.9204545454545454,24
9,0.9261363636363636,24
10,0.9204545454545454,24
1,0.8409090909090909,25
2,0.8806818181818182,25
3,0.9090909090909091,25
4,0.9034090909090909,25
5,0.9090909090909091,25
6,0.9147727272727273,25
7,0.9090909090909091,25
8,0.9204545454545454,25
9,0.9204545454545454,25
10,0.9147727272727273,25
1,0.8693181818181818,26
2,0.9431818181818182,26
3,0.9431818181818182,26
4,0.9375,26
5,0.9431818181818182,26
6,0.9375,26
7,0.9375,26
8,0.9431818181818182,26
9,0.9375,26
10,0.9318181818181818,26
1,0.8409090909090909,27
2,0.8806818181818182,27
3,0.9090909090909091,27
4,0.9204545454545454,27
5,0.9318181818181818,27
6,0.9147727272727273,27
7,0.9261363636363636,27
8,0.9261363636363636,27
9,0.9261363636363636,27
10,0.9261363636363636,27
1,0.8579545454545454,28
2,0.9318181818181818,28
3,0.9261363636363636,28
4,0.9375,28
5,0.9318181818181818,28
6,0.9318181818181818,28
7,0.9375,28
8,0.9318181818181818,28
9,0.9318181818181818,28
10,0.9375,28
1,0.8522727272727273,29
2,0.9261363636363636,29
3,0.9261363636363636,29
4,0.9375,29
5,0.9431818181818182,29
6,0.9375,29
7,0.9375,29
8,0.9318181818181818,29
9,0.9431818181818182,29
10,0.9431818181818182,29
1,0.8693181818181818,30
2,0.9147727272727273,30
3,0.9261363636363636,30
4,0.9318181818181818,30
5,0.9204545454545454,30
6,0.9147727272727273,30
7,0.9261363636363636,30
8,0.9204545454545454,30
9,0.9261363636363636,30
10,0.9204545454545454,30
1,0.8068181818181818,31
2,0.8636363636363636,31
3,0.8977272727272727,31
4,0.9147727272727273,31
5,0.9147727272727273,31
6,0.9204545454545454,31
7,0.9204545454545454,31
8,0.9261363636363636,31
9,0.9261363636363636,31
10,0.9147727272727273,31
1,0.8068181818181818,32
2,0.9261363636363636,32
3,0.9261363636363636,32
4,0.9431818181818182,32
5,0.9375,32
6,0.9375,32
7,0.9431818181818182,32
8,0.9375,32
9,0.9431818181818182,32
10,0.9318181818181818,32
1,0.8636363636363636,33
2,0.9034090909090909,33
3,0.9147727272727273,33
4,0.9204545454545454,33
5,0.9261363636363636,33
6,0.9204545454545454,33
7,0.9261363636363636,33
8,0.9204545454545454,33
9,0.9261363636363636,33
10,0.9090909090909091,33
1,0.7840909090909091,34
2,0.8693181818181818,34
3,0.9204545454545454,34
4,0.9318181818181818,34
5,0.9261363636363636,34
6,0.9431818181818182,34
7,0.9659090909090909,34
8,0.9488636363636364,34
9,0.9488636363636364,34
10,0.9431818181818182,34
1,0.8465909090909091,35
2,0.9147727272727273,35
3,0.9204545454545454,35
4,0.9204545454545454,35
5,0.9204545454545454,35
6,0.9090909090909091,35
7,0.9147727272727273,35
8,0.9147727272727273,35
9,0.9090909090909091,35
10,0.9090909090909091,35
1,0.8068181818181818,36
2,0.9090909090909091,36
3,0.9318181818181818,36
4,0.9318181818181818,36
5,0.9318181818181818,36
6,0.9261363636363636,36
7,0.9318181818181818,36
8,0.9204545454545454,36
9,0.9204545454545454,36
10,0.9261363636363636,36
1,0.8693181818181818,37
2,0.9488636363636364,37
3,0.9375,37
4,0.9318181818181818,37
5,0.9431818181818182,37
6,0.9431818181818182,37
7,0.9431818181818182,37
8,0.9488636363636364,37
9,0.9431818181818182,37
10,0.9375,37
1,0.8409090909090909,38
2,0.8977272727272727,38
3,0.9147727272727273,38
4,0.9261363636363636,38
5,0.9261363636363636,38
6,0.9318181818181818,38
7,0.9204545454545454,38
8,0.9318181818181818,38
9,0.9375,38
10,0.9261363636363636,38
1,0.8352272727272727,39
2,0.8977272727272727,39
3,0.9204545454545454,39
4,0.9204545454545454,39
5,0.9204545454545454,39
6,0.9261363636363636,39
7,0.9147727272727273,39
8,0.9261363636363636,39
9,0.9204545454545454,39
10,0.9147727272727273,39
1,0.8409090909090909,40
2,0.9204545454545454,40
3,0.9375,40
4,0.9375,40
5,0.9545454545454546,40
6,0.9488636363636364,40
7,0.9488636363636364,40
8,0.9545454545454546,40
9,0.9545454545454546,40
10,0.9715909090909091,40
1,0.7840909090909091,41
2,0.8806818181818182,41
3,0.9147727272727273,41
4,0.9147727272727273,41
5,0.9204545454545454,41
6,0.9204545454545454,41
7,0.9261363636363636,41
8,0.9318181818181818,41
9,0.9261363636363636,41
10,0.9261363636363636,41
1,0.8522727272727273,42
2,0.8920454545454546,42
3,0.9318181818181818,42
4,0.9431818181818182,42
5,0.9488636363636364,42
6,0.9488636363636364,42
7,0.9488636363636364,42
8,0.9431818181818182,42
9,0.9431818181818182,42
10,0.9318181818181818,42
1,0.8522727272727273,43
2,0.9090909090909091,43
3,0.9375,43
4,0.9261363636363636,43
5,0.9375,43
6,0.9375,43
7,0.9375,43
8,0.9488636363636364,43
9,0.9431818181818182,43
10,0.9431818181818182,43
1,0.875,44
2,0.9261363636363636,44
3,0.9318181818181818,44
4,0.9375,44
5,0.9090909090909091,44
6,0.9204545454545454,44
7,0.9204545454545454,44
8,0.9261363636363636,44
9,0.9318181818181818,44
10,0.9147727272727273,44
1,0.8409090909090909,45
2,0.9204545454545454,45
3,0.9147727272727273,45
4,0.9204545454545454,45
5,0.9375,45
6,0.9147727272727273,45
7,0.8920454545454546,45
8,0.9034090909090909,45
9,0.9034090909090909,45
10,0.9090909090909091,45
1,0.8352272727272727,46
2,0.8863636363636364,46
3,0.9090909090909091,46
4,0.9147727272727273,46
5,0.9204545454545454,46
6,0.9261363636363636,46
7,0.9204545454545454,46
8,0.9204545454545454,46
9,0.9204545454545454,46
10,0.9375,46
1,0.8125,47
2,0.8863636363636364,47
3,0.9204545454545454,47
4,0.9090909090909091,47
5,0.9204545454545454,47
6,0.9261363636363636,47
7,0.9261363636363636,47
8,0.9261363636363636,47
9,0.9261363636363636,47
10,0.9261363636363636,47
1,0.8522727272727273,48
2,0.9204545454545454,48
3,0.9375,48
4,0.9375,48
5,0.9375,48
6,0.9431818181818182,48
7,0.9261363636363636,48
8,0.9318181818181818,48
9,0.9261363636363636,48
10,0.9204545454545454,48
1,0.8125,49
2,0.8579545454545454,49
3,0.8863636363636364,49
4,0.8920454545454546,49
5,0.9090909090909091,49
6,0.8977272727272727,49
7,0.9034090909090909,49
8,0.8977272727272727,49
9,0.8977272727272727,49
10,0.8977272727272727,49
