Option,Score,Trial
linear,0.8522727272727273,0
poly,0.7386363636363636,0
rbf,0.9318181818181818,0
sigmoid,0.8465909090909091,0
linear,0.8920454545454546,1
poly,0.7272727272727273,1
rbf,0.9261363636363636,1
sigmoid,0.8863636363636364,1
linear,0.8693181818181818,2
poly,0.6704545454545454,2
rbf,0.9375,2
sigmoid,0.875,2
linear,0.875,3
poly,0.7045454545454546,3
rbf,0.9204545454545454,3
sigmoid,0.8579545454545454,3
linear,0.8125,4
poly,0.6988636363636364,4
rbf,0.9204545454545454,4
sigmoid,0.8181818181818182,4
linear,0.8806818181818182,5
poly,0.6875,5
rbf,0.9375,5
sigmoid,0.8636363636363636,5
linear,0.8522727272727273,6
poly,0.7159090909090909,6
rbf,0.9204545454545454,6
sigmoid,0.8181818181818182,6
linear,0.8806818181818182,7
poly,0.6988636363636364,7
rbf,0.9431818181818182,7
sigmoid,0.8636363636363636,7
linear,0.8238636363636364,8
poly,0.6079545454545454,8
rbf,0.8806818181818182,8
sigmoid,0.8011363636363636,8
linear,0.8636363636363636,9
poly,0.6704545454545454,9
rbf,0.9488636363636364,9
sigmoid,0.875,9
linear,0.8522727272727273,10
poly,0.7386363636363636,10
rbf,0.9431818181818182,10
sigmoid,0.8636363636363636,10
linear,0.8409090909090909,11
poly,0.7102272727272727,11
rbf,0.9431818181818182,11
sigmoid,0.8011363636363636,11
linear,0.8693181818181818,12
poly,0.7215909090909091,12
rbf,0.9318181818181818,12
sigmoid,0.8522727272727273,12
linear,0.8977272727272727,13
poly,0.7613636363636364,13
rbf,0.9545454545454546,13
sigmoid,0.8977272727272727,13
linear,0.875,14
poly,0.6647727272727273,14
rbf,0.9204545454545454,14
sigmoid,0.8409090909090909,14
linear,0.8522727272727273,15
poly,0.7556818181818182,15
rbf,0.9147727272727273,15
sigmoid,0.8238636363636364,15
linear,0.8977272727272727,16
poly,0.7159090909090909,16
rbf,0.9545454545454546,16
sigmoid,0.8806818181818182,16
linear,0.875,17
poly,0.7045454545454546,17
rbf,0.9431818181818182,17
sigmoid,0.9090909090909091,17
linear,0.8693181818181818,18
poly,0.7045454545454546,18
rbf,0.9261363636363636,18
sigmoid,0.8409090909090909,18
linear,0.8693181818181818,19
poly,0.6988636363636364,19
rbf,0.9545454545454546,19
sigmoid,0.8920454545454546,19
linear,0.8920454545454546,20
poly,0.6818181818181818,20
rbf,0.9375,20
sigmoid,0.8806818181818182,20
linear,0.8465909090909091,21
poly,0.7386363636363636,21
rbf,0.9204545454545454,21
sigmoid,0.8579545454545454,21
linear,0.8295454545454546,22
poly,0.6704545454545454,22
rbf,0.9204545454545454,22
sigmoid,0.8352272727272727,22
linear,0.8295454545454546,23
poly,0.6647727272727273,23
rbf,0.9375,23
sigmoid,0.8352272727272727,23
linear,0.8863636363636364,24
poly,0.7272727272727273,24
rbf,0.9602272727272727,24
sigmoid,0.8522727272727273,24
linear,0.8465909090909091,25
poly,0.7045454545454546,25
rbf,0.9318181818181818,25
sigmoid,0.8522727272727273,25
linear,0.8238636363636364,26
poly,0.7556818181818182,26
rbf,0.9431818181818182,26
sigmoid,0.8465909090909091,26
linear,0.8636363636363636,27
poly,0.6931818181818182,27
rbf,0.9318181818181818,27
sigmoid,0.8806818181818182,27
linear,0.8522727272727273,28
poly,0.6704545454545454,28
rbf,0.9318181818181818,28
sigmoid,0.8409090909090909,28
linear,0.8409090909090909,29
poly,0.7045454545454546,29
rbf,0.9545454545454546,29
sigmoid,0.8693181818181818,29
linear,0.9034090909090909,30
poly,0.6931818181818182,30
rbf,0.9431818181818182,30
sigmoid,0.8522727272727273,30
linear,0.8977272727272727,31
poly,0.6988636363636364,31
rbf,0.9488636363636364,31
sigmoid,0.875,31
linear,0.875,32
poly,0.6988636363636364,32
rbf,0.9261363636363636,32
sigmoid,0.8693181818181818,32
linear,0.8636363636363636,33
poly,0.7215909090909091,33
rbf,0.9431818181818182,33
sigmoid,0.8465909090909091,33
linear,0.8579545454545454,34
poly,0.6590909090909091,34
rbf,0.9090909090909091,34
sigmoid,0.8522727272727273,34
linear,0.8636363636363636,35
poly,0.7840909090909091,35
rbf,0.9545454545454546,35
sigmoid,0.875,35
