Option,Score,Trial
1,0.659114315139032,0
2,0.7538619979402678,0
3,0.8568486096807415,0
4,0.9361483007209063,0
5,0.9680741503604532,0
6,1.0,0
7,1.0,0
8,1.0,0
9,1.0,0
10,1.0,0
1,0.650875386199794,1
2,0.7497425334706488,1
3,0.8465499485066942,1
4,0.9340885684860968,1
5,0.972193614830072,1
6,1.0,1
7,1.0,1
8,1.0,1
9,1.0,1
10,1.0,1
1,0.654994850669413,2
2,0.7651905252317199,2
3,0.8619979402677652,2
4,0.94129763130793,2
5,0.9752832131822863,2
6,1.0,2
7,1.0,2
8,1.0,2
9,1.0,2
10,1.0,2
1,0.6580844490216272,3
2,0.7518022657054583,3
3,0.8475798146240988,3
4,0.9289392378990731,3
5,0.964984552008239,3
6,1.0,3
7,1.0,3
8,1.0,3
9,1.0,3
10,1.0,3
1,0.6570545829042225,4
2,0.7579814624098867,4
3,0.8486096807415036,4
4,0.9361483007209063,4
5,0.9577754891864058,4
6,1.0,4
7,1.0,4
8,1.0,4
9,1.0,4
10,1.0,4
1,0.6611740473738414,5
2,0.7456230690010298,5
3,0.8475798146240988,5
4,0.9268795056642637,5
5,0.9680741503604532,5
6,1.0,5
7,1.0,5
8,1.0,5
9,1.0,5
10,1.0,5
1,0.6539649845520082,6
2,0.7621009268795057,6
3,0.8609680741503605,6
4,0.9443872296601442,6
5,0.9773429454170958,6
6,1.0,6
7,1.0,6
8,1.0,6
9,1.0,6
10,1.0,6
1,0.6601441812564367,7
2,0.761071060762101,7
3,0.854788877445932,7
4,0.933058702368692,7
5,0.9691040164778579,7
6,1.0,7
7,1.0,7
8,1.0,7
9,1.0,7
10,1.0,7
1,0.6519052523171988,8
2,0.761071060762101,8
3,0.8619979402677652,8
4,0.9351184346035015,8
5,0.9752832131822863,8
6,1.0,8
7,1.0,8
8,1.0,8
9,1.0,8
10,1.0,8
1,0.639546858908342,9
2,0.780638516992791,9
3,0.8722966014418125,9
4,0.94129763130793,9
5,0.9742533470648815,9
6,1.0,9
7,1.0,9
8,1.0,9
9,1.0,9
10,1.0,9
1,0.6498455200823893,10
2,0.7518022657054583,10
3,0.8578784757981462,10
4,0.937178166838311,10
5,0.9732234809474768,10
6,1.0,10
7,1.0,10
8,1.0,10
9,1.0,10
10,1.0,10
1,0.6343975283213182,11
2,0.7590113285272915,11
3,0.8619979402677652,11
4,0.9382080329557158,11
5,0.9701338825952626,11
6,1.0,11
7,1.0,11
8,1.0,11
9,1.0,11
10,1.0,11
1,0.6725025746652935,12
2,0.7404737384140062,12
3,0.8455200823892894,12
4,0.9289392378990731,12
5,0.952626158599382,12
6,1.0,12
7,1.0,12
8,1.0,12
9,1.0,12
10,1.0,12
1,0.6498455200823893,13
2,0.748712667353244,13
3,0.8475798146240988,13
4,0.9392378990731205,13
5,0.9752832131822863,13
6,1.0,13
7,1.0,13
8,1.0,13
9,1.0,13
10,1.0,13
1,0.639546858908342,14
2,0.7744593202883625,14
3,0.8558187435633368,14
4,0.9299691040164778,14
5,0.9557157569515963,14
6,1.0,14
7,1.0,14
8,1.0,14
9,1.0,14
10,1.0,14
1,0.666323377960865,15
2,0.737384140061792,15
3,0.839340885684861,15
4,0.9289392378990731,15
5,0.9701338825952626,15
6,1.0,15
7,1.0,15
8,1.0,15
9,1.0,15
10,1.0,15
1,0.6385169927909372,16
2,0.761071060762101,16
3,0.8578784757981462,16
4,0.9299691040164778,16
5,0.9701338825952626,16
6,1.0,16
7,1.0,16
8,1.0,16
9,1.0,16
10,1.0,16
1,0.6570545829042225,17
2,0.7518022657054583,17
3,0.8465499485066942,17
4,0.9320288362512873,17
5,0.9660144181256437,17
6,1.0,17
7,1.0,17
8,1.0,17
9,1.0,17
10,1.0,17
1,0.6570545829042225,18
2,0.748712667353244,18
3,0.8465499485066942,18
4,0.9299691040164778,18
5,0.9711637487126673,18
6,1.0,18
7,1.0,18
8,1.0,18
9,1.0,18
10,1.0,18
1,0.6416065911431514,19
2,0.7651905252317199,19
3,0.870236869207003,19
4,0.945417095777549,19
5,0.9783728115345005,19
6,1.0,19
7,1.0,19
8,1.0,19
9,1.0,19
10,1.0,19
1,0.6725025746652935,20
2,0.7538619979402678,20
3,0.8537590113285273,20
4,0.9309989701338826,20
5,0.9701338825952626,20
6,1.0,20
7,1.0,20
8,1.0,20
9,1.0,20
10,1.0,20
1,0.6683831101956745,21
2,0.7497425334706488,21
3,0.8414006179196705,21
4,0.9340885684860968,21
5,0.956745623069001,21
6,1.0,21
7,1.0,21
8,1.0,21
9,1.0,21
10,1.0,21
1,0.6436663233779608,22
2,0.7579814624098867,22
3,0.8537590113285273,22
4,0.9289392378990731,22
5,0.9670442842430484,22
6,1.0,22
7,1.0,22
8,1.0,22
9,1.0,22
10,1.0,22
1,0.6488156539649845,23
2,0.752832131822863,23
3,0.8465499485066942,23
4,0.9309989701338826,23
5,0.9660144181256437,23
6,1.0,23
7,1.0,23
8,1.0,23
9,1.0,23
10,1.0,23
1,0.6529351184346035,24
2,0.7384140061791967,24
3,0.84346035015448,24
4,0.925849639546859,24
5,0.9536560247167868,24
6,1.0,24
7,1.0,24
8,1.0,24
9,1.0,24
10,1.0,24
1,0.6385169927909372,25
2,0.7651905252317199,25
3,0.8486096807415036,25
4,0.933058702368692,25
5,0.9701338825952626,25
6,1.0,25
7,1.0,25
8,1.0,25
9,1.0,25
10,1.0,25
1,0.6683831101956745,26
2,0.748712667353244,26
3,0.8568486096807415,26
4,0.9382080329557158,26
5,0.9742533470648815,26
6,1.0,26
7,1.0,26
8,1.0,26
9,1.0,26
10,1.0,26
1,0.6694129763130793,27
2,0.756951596292482,27
3,0.854788877445932,27
4,0.9309989701338826,27
5,0.9660144181256437,27
6,1.0,27
7,1.0,27
8,1.0,27
9,1.0,27
10,1.0,27
1,0.6405767250257467,28
2,0.772399588053553,28
3,0.874356333676622,28
4,0.9495365602471678,28
5,0.9732234809474768,28
6,1.0,28
7,1.0,28
8,1.0,28
9,1.0,28
10,1.0,28
1,0.6323377960865088,29
2,0.7693099897013388,29
3,0.8619979402677652,29
4,0.9402677651905252,29
5,0.9680741503604532,29
6,1.0,29
7,1.0,29
8,1.0,29
9,1.0,29
10,1.0,29
1,0.6580844490216272,30
2,0.7497425334706488,30
3,0.850669412976313,30
4,0.9268795056642637,30
5,0.9660144181256437,30
6,1.0,30
7,1.0,30
8,1.0,30
9,1.0,30
10,1.0,30
1,0.6457260556127703,31
2,0.7621009268795057,31
3,0.8568486096807415,31
4,0.9340885684860968,31
5,0.9711637487126673,31
6,1.0,31
7,1.0,31
8,1.0,31
9,1.0,31
10,1.0,31
1,0.659114315139032,32
2,0.7641606591143152,32
3,0.8558187435633368,32
4,0.9309989701338826,32
5,0.9680741503604532,32
6,1.0,32
7,1.0,32
8,1.0,32
9,1.0,32
10,1.0,32
1,0.6622039134912462,33
2,0.7672502574665293,33
3,0.8558187435633368,33
4,0.9299691040164778,33
5,0.9670442842430484,33
6,1.0,33
7,1.0,33
8,1.0,33
9,1.0,33
10,1.0,33
1,0.6416065911431514,34
2,0.761071060762101,34
3,0.8475798146240988,34
4,0.9433573635427395,34
5,0.976313079299691,34
6,1.0,34
7,1.0,34
8,1.0,34
9,1.0,34
10,1.0,34
1,0.6539649845520082,35
2,0.752832131822863,35
3,0.8527291452111225,35
4,0.9402677651905252,35
5,0.9773429454170958,35
6,1.0,35
7,1.0,35
8,1.0,35
9,1.0,35
10,1.0,35
1,0.6755921730175077,36
2,0.7404737384140062,36
3,0.8475798146240988,36
4,0.933058702368692,36
5,0.9742533470648815,36
6,1.0,36
7,1.0,36
8,1.0,36
9,1.0,36
10,1.0,36
1,0.639546858908342,37
2,0.761071060762101,37
3,0.86302780638517,37
4,0.94129763130793,37
5,0.9711637487126673,37
6,1.0,37
7,1.0,37
8,1.0,37
9,1.0,37
10,1.0,37
1,0.6622039134912462,38
2,0.7497425334706488,38
3,0.8455200823892894,38
4,0.9248197734294542,38
5,0.9629248197734295,38
6,1.0,38
7,1.0,38
8,1.0,38
9,1.0,38
10,1.0,38
1,0.6416065911431514,39
2,0.7775489186405767,39
3,0.8650875386199794,39
4,0.945417095777549,39
5,0.9752832131822863,39
6,1.0,39
7,1.0,39
8,1.0,39
9,1.0,39
10,1.0,39
1,0.6436663233779608,40
2,0.756951596292482,40
3,0.8516992790937178,40
4,0.9351184346035015,40
5,0.9701338825952626,40
6,1.0,40
7,1.0,40
8,1.0,40
9,1.0,40
10,1.0,40
1,0.6539649845520082,41
2,0.741503604531411,41
3,0.8414006179196705,41
4,0.92173017507724,41
5,0.9670442842430484,41
6,1.0,41
7,1.0,41
8,1.0,41
9,1.0,41
10,1.0,41
1,0.6416065911431514,42
2,0.7548918640576725,42
3,0.854788877445932,42
4,0.9309989701338826,42
5,0.972193614830072,42
6,1.0,42
7,1.0,42
8,1.0,42
9,1.0,42
10,1.0,42
1,0.6498455200823893,43
2,0.7703398558187435,43
3,0.8537590113285273,43
4,0.933058702368692,43
5,0.956745623069001,43
6,1.0,43
7,1.0,43
8,1.0,43
9,1.0,43
10,1.0,43
1,0.6477857878475798,44
2,0.7497425334706488,44
3,0.8516992790937178,44
4,0.9340885684860968,44
5,0.9639546858908342,44
6,1.0,44
7,1.0,44
8,1.0,44
9,1.0,44
10,1.0,44
1,0.6426364572605562,45
2,0.7507723995880535,45
3,0.8527291452111225,45
4,0.9351184346035015,45
5,0.972193614830072,45
6,1.0,45
7,1.0,45
8,1.0,45
9,1.0,45
10,1.0,45
1,0.6642636457260556,46
2,0.7435633367662204,46
3,0.8218331616889805,46
4,0.9361483007209063,46
5,0.9691040164778579,46
6,1.0,46
7,1.0,46
8,1.0,46
9,1.0,46
10,1.0,46
1,0.659114315139032,47
2,0.748712667353244,47
3,0.8444902162718847,47
4,0.9268795056642637,47
5,0.9701338825952626,47
6,1.0,47
7,1.0,47
8,1.0,47
9,1.0,47
10,1.0,47
1,0.6560247167868177,48
2,0.7651905252317199,48
3,0.8609680741503605,48
4,0.9443872296601442,48
5,0.9794026776519053,48
6,1.0,48
7,1.0,48
8,1.0,48
9,1.0,48
10,1.0,48
1,0.6673532440782698,49
2,0.7538619979402678,49
3,0.839340885684861,49
4,0.9248197734294542,49
5,0.964984552008239,49
6,1.0,49
7,1.0,49
8,1.0,49
9,1.0,49
10,1.0,49
