Option,Score,Trial
1,0.9814624098867147,0
2,0.9742533470648815,0
3,0.98043254376931,0
4,0.9752832131822863,0
5,0.9742533470648815,0
1,0.9814624098867147,1
2,0.972193614830072,1
3,0.9773429454170958,1
4,0.976313079299691,1
5,0.9783728115345005,1
1,0.9814624098867147,2
2,0.98043254376931,2
3,0.9835221421215242,2
4,0.98043254376931,2
5,0.976313079299691,2
1,0.98043254376931,3
2,0.9835221421215242,3
3,0.9783728115345005,3
4,0.9824922760041195,3
5,0.9794026776519053,3
1,0.9917610710607621,4
2,0.9773429454170958,4
3,0.984552008238929,4
4,0.9773429454170958,4
5,0.9742533470648815,4
1,0.9835221421215242,5
2,0.9783728115345005,5
3,0.9814624098867147,5
4,0.9814624098867147,5
5,0.9773429454170958,5
1,0.9794026776519053,6
2,0.9824922760041195,6
3,0.976313079299691,6
4,0.9814624098867147,6
5,0.9742533470648815,6
1,0.9824922760041195,7
2,0.976313079299691,7
3,0.98043254376931,7
4,0.976313079299691,7
5,0.976313079299691,7
1,0.984552008238929,8
2,0.9886714727085479,8
3,0.9814624098867147,8
4,0.9835221421215242,8
5,0.9773429454170958,8
1,0.9824922760041195,9
2,0.972193614830072,9
3,0.9794026776519053,9
4,0.9742533470648815,9
5,0.976313079299691,9
1,0.9876416065911432,10
2,0.9824922760041195,10
3,0.9835221421215242,10
4,0.9814624098867147,10
5,0.9835221421215242,10
1,0.9773429454170958,11
2,0.9752832131822863,11
3,0.98043254376931,11
4,0.98043254376931,11
5,0.9742533470648815,11
1,0.9814624098867147,12
2,0.9814624098867147,12
3,0.9866117404737385,12
4,0.984552008238929,12
5,0.9752832131822863,12
1,0.9855818743563337,13
2,0.9794026776519053,13
3,0.9824922760041195,13
4,0.98043254376931,13
5,0.9794026776519053,13
1,0.9824922760041195,14
2,0.9773429454170958,14
3,0.976313079299691,14
4,0.9814624098867147,14
5,0.9742533470648815,14
1,0.984552008238929,15
2,0.9773429454170958,15
3,0.9783728115345005,15
4,0.9783728115345005,15
5,0.9794026776519053,15
1,0.9835221421215242,16
2,0.9752832131822863,16
3,0.9855818743563337,16
4,0.9794026776519053,16
5,0.984552008238929,16
1,0.9783728115345005,17
2,0.98043254376931,17
3,0.9752832131822863,17
4,0.9742533470648815,17
5,0.9670442842430484,17
1,0.9752832131822863,18
2,0.9629248197734295,18
3,0.9742533470648815,18
4,0.9701338825952626,18
5,0.9752832131822863,18
1,0.9866117404737385,19
2,0.9742533470648815,19
3,0.9814624098867147,19
4,0.9752832131822863,19
5,0.9773429454170958,19
1,0.984552008238929,20
2,0.984552008238929,20
3,0.98043254376931,20
4,0.9835221421215242,20
5,0.9835221421215242,20
1,0.9886714727085479,21
2,0.9824922760041195,21
3,0.9783728115345005,21
4,0.98043254376931,21
5,0.9773429454170958,21
1,0.9855818743563337,22
2,0.9773429454170958,22
3,0.976313079299691,22
4,0.976313079299691,22
5,0.9773429454170958,22
1,0.984552008238929,23
2,0.9794026776519053,23
3,0.976313079299691,23
4,0.9711637487126673,23
5,0.9752832131822863,23
1,0.9773429454170958,24
2,0.9660144181256437,24
3,0.9732234809474768,24
4,0.9691040164778579,24
5,0.972193614830072,24
1,0.9814624098867147,25
2,0.972193614830072,25
3,0.9783728115345005,25
4,0.9742533470648815,25
5,0.9732234809474768,25
1,0.9824922760041195,26
2,0.9814624098867147,26
3,0.9835221421215242,26
4,0.984552008238929,26
5,0.98043254376931,26
1,0.9773429454170958,27
2,0.976313079299691,27
3,0.9752832131822863,27
4,0.9742533470648815,27
5,0.9752832131822863,27
1,0.9835221421215242,28
2,0.9773429454170958,28
3,0.9814624098867147,28
4,0.9814624098867147,28
5,0.9794026776519053,28
1,0.9814624098867147,29
2,0.972193614830072,29
3,0.9824922760041195,29
4,0.9742533470648815,29
5,0.976313079299691,29
1,0.9866117404737385,30
2,0.9824922760041195,30
3,0.98043254376931,30
4,0.9773429454170958,30
