Option,Score,Trial
1,0.659114315139032,0
2,0.7342945417095778,0
3,0.854788877445932,0
4,0.9598352214212152,0
5,0.9629248197734295,0
6,0.9711637487126673,0
7,0.9794026776519053,0
8,0.9855818743563337,0
9,0.9866117404737385,0
10,0.9794026776519053,0
1,0.6622039134912462,1
2,0.7579814624098867,1
3,0.9320288362512873,1
4,0.9546858908341915,1
5,0.9711637487126673,1
6,0.9773429454170958,1
7,0.9855818743563337,1
8,0.9835221421215242,1
9,0.9917610710607621,1
10,0.9897013388259527,1
1,0.6560247167868177,2
2,0.7270854788877446,2
3,0.8321318228630278,2
4,0.9011328527291452,2
5,0.9320288362512873,2
6,0.9588053553038105,2
7,0.9660144181256437,2
8,0.9732234809474768,2
9,0.9814624098867147,2
10,0.9783728115345005,2
1,0.659114315139032,3
2,0.7456230690010298,3
3,0.8259526261585994,3
4,0.8918640576725025,3
5,0.9577754891864058,3
6,0.9670442842430484,3
7,0.9794026776519053,3
8,0.9876416065911432,3
9,0.9938208032955715,3
10,0.9824922760041195,3
1,0.6446961894953656,4
2,0.7239958805355304,4
3,0.7991761071060762,4
4,0.84346035015448,4
5,0.8949536560247168,4
6,0.9423274974253347,4
7,0.972193614830072,4
8,0.9691040164778579,4
9,0.9855818743563337,4
10,0.98043254376931,4
1,0.6426364572605562,5
2,0.717816683831102,5
3,0.8012358393408857,5
4,0.8712667353244078,5
5,0.9515962924819773,5
6,0.956745623069001,5
7,0.9835221421215242,5
8,0.9824922760041195,5
9,0.9897013388259527,5
10,0.984552008238929,5
1,0.6539649845520082,6
2,0.748712667353244,6
3,0.82389289392379,6
4,0.9011328527291452,6
5,0.9536560247167868,6
6,0.9629248197734295,6
7,0.9732234809474768,6
8,0.9835221421215242,6
9,0.9814624098867147,6
10,0.9886714727085479,6
1,0.6601441812564367,7
2,0.7322348094747683,7
3,0.8599382080329557,7
4,0.9660144181256437,7
5,0.9732234809474768,7
6,0.9824922760041195,7
7,0.9835221421215242,7
8,0.9897013388259527,7
9,0.9897013388259527,7
10,0.9917610710607621,7
1,0.6261585993820803,8
2,0.6848609680741503,8
3,0.772399588053553,8
4,0.9042224510813595,8
5,0.9629248197734295,8
6,0.972193614830072,8
7,0.9814624098867147,8
8,0.9824922760041195,8
9,0.9886714727085479,8
10,0.9938208032955715,8
1,0.6529351184346035,9
2,0.7085478887744593,9
3,0.8290422245108136,9
4,0.9083419155509783,9
5,0.9670442842430484,9
6,0.9886714727085479,9
7,0.9835221421215242,9
8,0.9917610710607621,9
9,0.9897013388259527,9
10,0.9969104016477858,9
1,0.6570545829042225,10
2,0.7167868177136972,10
3,0.8455200823892894,10
4,0.9062821833161689,10
5,0.956745623069001,10
6,0.9557157569515963,10
7,0.9814624098867147,10
8,0.9701338825952626,10
9,0.9866117404737385,10
10,0.98043254376931,10
1,0.6560247167868177,11
2,0.7229660144181257,11
3,0.8218331616889805,11
4,0.8671472708547889,11
5,0.8867147270854789,11
6,0.9536560247167868,11
7,0.9732234809474768,11
8,0.9701338825952626,11
9,0.98043254376931,11
10,0.9814624098867147,11
1,0.6446961894953656,12
2,0.6889804325437693,12
3,0.8166838311019567,12
4,0.8970133882595263,12
5,0.92173017507724,12
6,0.952626158599382,12
7,0.972193614830072,12
8,0.9773429454170958,12
9,0.9794026776519053,12
10,0.9866117404737385,12
1,0.6436663233779608,13
2,0.6992790937178167,13
3,0.831101956745623,13
4,0.913491246138002,13
5,0.9515962924819773,13
6,0.9691040164778579,13
7,0.984552008238929,13
8,0.9835221421215242,13
9,0.9876416065911432,13
10,0.9897013388259527,13
1,0.6477857878475798,14
2,0.7229660144181257,14
3,0.8259526261585994,14
4,0.94129763130793,14
5,0.9639546858908342,14
6,0.9639546858908342,14
7,0.9824922760041195,14
8,0.9876416065911432,14
9,0.984552008238929,14
10,0.9866117404737385,14
1,0.6601441812564367,15
2,0.7404737384140062,15
3,0.8187435633367662,15
4,0.945417095777549,15
5,0.9629248197734295,15
6,0.976313079299691,15
7,0.9742533470648815,15
8,0.9835221421215242,15
9,0.9794026776519053,15
10,0.9752832131822863,15
1,0.6446961894953656,16
2,0.7209062821833162,16
3,0.8135942327497425,16
4,0.8970133882595263,16
5,0.9577754891864058,16
6,0.9773429454170958,16
7,0.9773429454170958,16
8,0.9794026776519053,16
9,0.9835221421215242,16
10,0.9855818743563337,16
1,0.6323377960865088,17
2,0.6961894953656025,17
3,0.8218331616889805,17
4,0.8990731204943357,17
5,0.9536560247167868,17
6,0.9598352214212152,17
7,0.972193614830072,17
8,0.9783728115345005,17
9,0.9866117404737385,17
10,0.984552008238929,17
1,0.674562306900103,18
2,0.787847579814624,18
3,0.8578784757981462,18
4,0.9577754891864058,18
5,0.9495365602471678,18
6,0.976313079299691,18
7,0.9742533470648815,18
8,0.9824922760041195,18
9,0.9855818743563337,18
10,0.984552008238929,18
1,0.6694129763130793,19
2,0.761071060762101,19
3,0.9104016477857878,19
4,0.9618949536560247,19
5,0.976313079299691,19
6,0.972193614830072,19
7,0.9794026776519053,19
8,0.9855818743563337,19
9,0.9876416065911432,19
10,0.9948506694129763,19
1,0.6519052523171988,20
